ID,F1,F1-inter,F1-intra,F2,F2-inter,F2-intra,F3,F3-inter,F3-intra,F4,F4-inter,F4-intra,F5,F5-inter,F5-intra,F6,F6-inter,F6-intra,F7,F7-inter,F7-intra,F8,F8-inter,F8-intra,F9,F9-inter,F9-intra,F10,F10-inter,F10-intra,F11,F11-inter,F11-intra,F12,F12-inter,F12-intra
7,-69.40829415,-69.40829415,-69.40829415,0.935414411,0.938497825,0.937957146,0.103061458,0.103463463,0.103353249,104.806835,104.806835,104.806835,63837.55789,57903.86946,60706.04035,-12.7525122,-12.7525122,-12.7525122,0.106733682,0.102585985,0.103186912,107.8171376,107.8171376,107.8171376,168.7729017,169.9107446,169.5640313,0.997640136,0.997674625,0.997665055,0.971706503,0.971947592,0.971864749,4.499663962,4.634233958,4.605658739
9,-69.91494917,-69.91494917,-69.91494917,0.921829326,0.923220268,0.923754633,0.104939614,0.105081693,0.105065138,103.5985764,103.5985764,103.5985764,6131.057075,5955.450674,5947.157278,72.19666058,72.19666058,71.43261967,0.083385389,0.082849254,0.084013425,103.6371798,103.6371798,103.6371798,358.1263861,358.5192668,356.3465426,0.995783756,0.995787494,0.99575993,0.957517994,0.957538325,0.957397746,3.34300517,3.33784643,3.344864286
14,-72.55917922,-72.55917922,-72.55917922,0.946693753,0.94710518,0.946929754,0.119846842,0.119566751,0.119878841,83.77387719,83.77387719,83.77387719,6350.5871,5845.106908,6343.424336,-44.2025959,-44.2025959,-44.2025959,0.055563437,0.059825456,0.055428569,82.50606038,83.75596994,82.50606038,248.4772766,249.3629019,248.5610003,0.997265698,0.997043891,0.997270899,0.966267992,0.965012706,0.966295198,9.067237807,8.065292977,9.091923048
15,-96.39021599,-96.39021599,-96.39021599,0.980747579,0.998382417,0.982392967,0.110111433,0.110675835,0.110289856,78.48702592,78.48702592,78.48702592,1421.889239,1335.852776,1407.522275,-2.634527106,-2.634527106,-2.634527106,0.098435707,0.099544537,0.098504895,78.48702592,78.48702592,78.48702592,105.7160995,107.4717028,105.9338738,0.995144325,0.995083845,0.995138647,0.954358318,0.954014726,0.954314297,3.709393412,3.68902849,3.706529172
17,-61.04689148,-61.04689148,-61.04689148,0.914698276,0.912275595,0.921551124,0.105334254,0.105619883,0.105310623,90.33464464,90.33464464,90.33464464,1717.838115,1728.918028,1673.78224,-29.0944832,-29.0944832,-29.0944832,0.080435614,0.080448307,0.08072219,93.85949604,93.90210326,93.85949604,164.7539928,165.2285036,165.6782319,0.994117757,0.994131551,0.994039467,0.949332289,0.949379778,0.949079114,3.164468462,3.167114153,3.178281414
19,-67.99361158,-67.99361158,-67.99361158,0.900187511,0.900787266,0.900787969,0.129229865,0.129109431,0.12919611,62.78005482,62.78005482,62.78005482,2292.009345,2344.112456,2344.365309,-19.7973661,-19.7973661,-19.7973661,0.098131663,0.09824204,0.098141801,67.09078816,65.63262039,65.63262039,95.42487395,94.45973496,94.66474381,0.994844313,0.994866255,0.994866593,0.9514682,0.951586751,0.951579815,3.084967107,3.099310302,3.101867962
20,-103.7331373,-103.7331373,-103.7331373,0.973803135,0.978107139,0.975522583,0.105400273,0.105575365,0.10553565,95.31774576,95.31774576,95.31774576,2497.504745,1755.66245,1595.808495,-6.629465165,-7.348751625,-7.348751625,0.090696502,0.09726281,0.097531391,95.3334813,95.3334813,95.3334813,140.9449572,142.1542742,141.5176708,0.996119785,0.99572409,0.995755088,0.958633379,0.956539303,0.956765553,3.375398285,3.249710179,3.19376248
21,-59.04285078,-59.04285078,-59.04285078,0.941816763,0.937923274,0.939541103,0.106855377,0.106699594,0.106767951,78.4614023,78.4614023,78.4614023,2335.000131,2294.218886,2315.967449,-18.07394396,-18.07394396,-18.07394396,0.05612737,0.055671498,0.055852837,77.13503404,78.3657556,78.3657556,146.9769342,150.2654219,149.9427083,0.996503529,0.996508284,0.996504127,0.9624293,0.962401077,0.962387789,3.750314211,3.773204055,3.770452755
23,-87.11176354,-87.11176354,-87.11176354,0.963362155,0.95943748,0.963634808,0.092818577,0.092971694,0.092956108,93.86746232,93.86746232,93.86746232,28835.62289,24932.52449,25062.43547,-14.57165951,-14.17198952,-14.67157701,0.151900315,0.161985035,0.162418774,86.52020173,86.52020173,86.52020173,115.2250561,115.5731693,115.7701286,0.996910822,0.996952839,0.996956113,0.963842723,0.964013564,0.964017226,3.187256813,3.103223517,3.097954878
25,-58.44899364,-57.76831196,-58.44899364,0.949181624,0.947307386,0.950903041,0.110190628,0.110533732,0.110136727,93.87547601,93.87547601,93.87547601,5000.271441,4833.537964,5003.780088,2.131675273,4.173720293,2.131675273,0.084877297,0.085926529,0.084582359,93.87547601,93.87547601,93.87547601,106.0920749,106.645203,106.8498084,0.996557302,0.996336382,0.996566093,0.962660219,0.961538373,0.96269024,3.149849615,3.100278867,3.159855388
27,-83.23577063,-83.23577063,-83.23577063,0.947719107,0.947316721,0.946979634,0.105925661,0.105752176,0.105814142,108.0393491,108.0624864,108.0624864,12728.09907,12626.45822,12568.11913,8.281337306,8.281337306,8.281337306,0.129381155,0.129233611,0.129718015,108.1364923,108.1364923,108.1364923,153.2348954,153.1478617,153.3595846,0.995336945,0.995319479,0.995327967,0.957033822,0.956960111,0.956989397,3.458129618,3.476572927,3.453483677
28,-63.9330121,-63.9330121,-63.9330121,0.959616941,0.961718257,0.961108228,0.106908534,0.107167046,0.107044394,90.40103994,90.40103994,90.40103994,2084.950106,1887.744524,2126.524913,3.953881167,3.953881167,3.953881167,0.158867847,0.156224364,0.158572205,92.21898209,92.21898209,92.21898209,133.118159,134.0269998,133.6927318,0.993947496,0.993977725,0.993961758,0.946225096,0.946316779,0.94625869,2.560322219,2.568799846,2.570158125
29,-55.81756516,-55.81756516,-55.81756516,0.913975718,0.916440008,0.914793858,0.088139752,0.088010256,0.088364537,81.46447304,81.46447304,81.46447304,6464.951013,5841.196805,5870.96012,5.59460195,5.59460195,5.59460195,0.233706228,0.244530686,0.246622475,74.38172405,74.38172405,74.38172405,71.66953482,71.81530055,71.76789116,0.991321802,0.990378978,0.99043352,0.936563784,0.933315454,0.933566137,2.498047306,2.506713895,2.486849749
30,-50.80165218,-85.59244474,-90.93433482,0.943140212,0.941263372,0.947947104,0.098395874,0.084010131,0.082207839,64.97314332,83.37137788,83.37137788,-1736.453509,8128.547517,6121.48029,84.53618038,39.0516571,37.27102708,0.147019416,0.126845198,0.121507111,69.25965297,86.64038218,86.64038218,66.43829517,80.52426938,79.39235466,0.995180879,0.995482574,0.995572883,0.95375308,0.955598149,0.956249132,3.446168563,3.632534772,3.861409491
31,-69.31355119,-69.31355119,-69.31355119,0.932235819,0.933979968,0.93335865,0.118754495,0.119107665,0.119008555,100.124922,100.019998,100.124922,57231.34268,57309.09146,57285.60896,-3.112280602,-3.112280602,-3.112280602,0.15217724,0.151334567,0.151453217,101.5821904,101.5821904,101.5821904,163.5269725,163.2595052,163.3924209,0.996683593,0.996706277,0.996704012,0.962777395,0.962850446,0.962844465,3.670888136,3.673725639,3.673906304
32,-83.3505784,-83.3505784,-83.3505784,0.833375597,0.841134124,0.838875068,0.084703885,0.084954304,0.085022913,106.2547058,106.2547058,106.2547058,14147.97088,13868.68463,13930.05135,-38.22108654,-38.22108654,-38.22108654,0.097129037,0.095685874,0.09633673,99.68965637,99.68965637,99.68965637,204.0535402,205.7116036,204.0069051,0.996322696,0.996321391,0.99631342,0.963281764,0.963237446,0.963217174,4.263708597,4.353335958,4.321462936
33,-55.99603539,-55.99603539,-55.99603539,0.984526537,0.982874693,0.98238352,0.109175483,0.109596204,0.109322716,101.7109169,101.7109169,101.7109169,13460.86436,13661.6477,13608.39834,-3.170300775,-3.170300775,-3.170300775,0.090618134,0.089842834,0.089676496,108.3748613,108.3748613,108.3748613,155.2680478,155.6415276,155.4924559,0.997136927,0.997225981,0.997224899,0.964450678,0.964821508,0.964814349,3.481925551,3.538116869,3.537496461
35,-24.07254013,-24.07254013,-24.07254013,0.978558386,0.975304756,0.978289273,0.116620436,0.116452316,0.116486049,70.35245075,70.35245075,70.35245075,2904.636083,2946.27756,2940.276591,42.11926366,42.11926366,42.11926366,0.066312223,0.064406435,0.065222888,75.21889766,73.58487311,75.21889766,110.8132946,112.5404814,111.2777778,0.994404795,0.994448484,0.994396211,0.952599962,0.952854326,0.952621605,6.511833385,6.784461724,6.660964413
